File Type,Sample logger
File Version,1
Model Number,SDS1104X-E
Serial Number,SDSMMFCD4R7762
Software Version,8.1.6.1.37R10
Start Time,1970-01-01 00:22:23.9
Sample Interval,2.000000E-004
Number of Points,54040
Number of channels,1
Source,CH1
Vertical Scale,+5.000000E-003
Vertical Offset,+2.000000E-004
Vertical Units,V
Time,CH1 Value
+0.000000E+000,+4.800000E-003
+2.000000E-004,-1.600000E-003
+4.000000E-004,+5.600000E-003
+6.000000E-004,-4.000000E-004
+8.000000E-004,-4.400000E-003
+1.000000E-003,-1.400000E-003
+1.200000E-003,-1.200000E-003
+1.400000E-003,-6.000000E-004
+1.600000E-003,-2.200000E-003
+1.800000E-003,-1.000000E-003
+2.000000E-003,+4.800000E-003
+2.200000E-003,-2.000000E-003
+2.400000E-003,-1.000000E-003
+2.600000E-003,-8.000000E-004
+2.800000E-003,+8.000000E-004
+3.000000E-003,-2.000000E-004
+3.200000E-003,+2.600000E-003
+3.400000E-003,-2.000000E-004
+3.600000E-003,-6.000000E-004
+3.800000E-003,-4.000000E-004
+4.000000E-003,-5.000000E-003
+4.200000E-003,+1.400000E-003
+4.400000E-003,+3.400000E-003
+4.600000E-003,+1.000000E-003
+4.800000E-003,-6.000000E-004
+5.000000E-003,-1.200000E-003
+5.200000E-003,-4.000000E-004
+5.400000E-003,-1.000000E-003
+5.600000E-003,-2.800000E-003
+5.800000E-003,+1.600000E-003
+6.000000E-003,-4.600000E-003
+6.200000E-003,-6.000000E-004
+6.400000E-003,+6.000000E-004
+6.600000E-003,+3.600000E-003
+6.800000E-003,+6.000000E-004
+7.000000E-003,-6.000000E-004
+7.200000E-003,+2.000000E-003
+7.400000E-003,-1.200000E-003
+7.600000E-003,+8.000000E-004
+7.800000E-003,+4.800000E-003
+8.000000E-003,-3.000000E-003
+8.200000E-003,+3.800000E-003
+8.400000E-003,+1.400000E-003
+8.600000E-003,-2.200000E-003
+8.800000E-003,-2.200000E-003
+9.000000E-003,-4.000000E-004
+9.200000E-003,-1.000000E-003
+9.400000E-003,+8.000000E-004
+9.600000E-003,+4.000000E-003
+9.800000E-003,-1.400000E-003
+1.000000E-002,+4.800000E-003
+1.020000E-002,-6.000000E-004
+1.040000E-002,+3.600000E-003
+1.060000E-002,+2.600000E-003
+1.080000E-002,-4.000000E-004
+1.100000E-002,-1.200000E-003
+1.120000E-002,-5.400000E-003
+1.140000E-002,-6.600000E-003
+1.160000E-002,-1.400000E-003
+1.180000E-002,+2.600000E-003
+1.200000E-002,-4.400000E-003
+1.220000E-002,-8.000000E-004
+1.240000E-002,+2.400000E-003
+1.260000E-002,+1.400000E-003
+1.280000E-002,-6.000000E-004
+1.300000E-002,+1.800000E-003
+1.320000E-002,+5.200000E-003
+1.340000E-002,-1.000000E-003
+1.360000E-002,+3.200000E-003
+1.380000E-002,+3.600000E-003
+1.400000E-002,-2.800000E-003
+1.420000E-002,-1.600000E-003
+1.440000E-002,-8.000000E-004
+1.460000E-002,-1.200000E-003
+1.480000E-002,+8.000000E-004
+1.500000E-002,-1.200000E-003
+1.520000E-002,-1.800000E-003
+1.540000E-002,-8.000000E-004
+1.560000E-002,-2.000000E-003
+1.580000E-002,-3.200000E-003
+1.600000E-002,+3.400000E-003
+1.620000E-002,-4.000000E-004
+1.640000E-002,-6.000000E-004
+1.660000E-002,-2.000000E-004
+1.680000E-002,+2.400000E-003
+1.700000E-002,-2.000000E-004
+1.720000E-002,-4.000000E-004
+1.740000E-002,-1.800000E-003
+1.760000E-002,-1.800000E-003
+1.780000E-002,+1.600000E-003
+1.800000E-002,-4.600000E-003
+1.820000E-002,+1.200000E-003
+1.840000E-002,+1.200000E-003
+1.860000E-002,+4.000000E-004
+1.880000E-002,-4.000000E-004
+1.900000E-002,+1.400000E-003
+1.920000E-002,-1.400000E-003
+1.940000E-002,+1.800000E-003
+1.960000E-002,-4.600000E-003
+1.980000E-002,-4.000000E-004
+2.000000E-002,-3.200000E-003
+2.020000E-002,+8.000000E-004
+2.040000E-002,-1.800000E-003
+2.060000E-002,+4.000000E-003
+2.080000E-002,+6.000000E-004
+2.100000E-002,-6.000000E-004
+2.120000E-002,+2.200000E-003
+2.140000E-002,-6.600000E-003
+2.160000E-002,+1.800000E-003
+2.180000E-002,-1.400000E-003
+2.200000E-002,-4.800000E-003
+2.220000E-002,-4.000000E-004
+2.240000E-002,-4.000000E-004
+2.260000E-002,+1.200000E-003
+2.280000E-002,+4.000000E-004
+2.300000E-002,-5.800000E-003
+2.320000E-002,-8.000000E-004
+2.340000E-002,+2.800000E-003
+2.360000E-002,-6.000000E-004
+2.380000E-002,-2.600000E-003
+2.400000E-002,+4.600000E-003
+2.420000E-002,-2.800000E-003
+2.440000E-002,-1.200000E-003
+2.460000E-002,+1.000000E-003
+2.480000E-002,-1.000000E-003
+2.500000E-002,-1.400000E-003
+2.520000E-002,-1.800000E-003
+2.540000E-002,-6.000000E-004
+2.560000E-002,-4.000000E-004
+2.580000E-002,+5.400000E-003
+2.600000E-002,-3.600000E-003
+2.620000E-002,-4.000000E-004
+2.640000E-002,+8.000000E-004
+2.660000E-002,+1.600000E-003
+2.680000E-002,+4.200000E-003
+2.700000E-002,-4.000000E-004
+2.720000E-002,+1.200000E-003
+2.740000E-002,+1.600000E-003
+2.760000E-002,+8.000000E-004
+2.780000E-002,+8.000000E-004
+2.800000E-002,+4.000000E-003
+2.820000E-002,+1.400000E-003
+2.840000E-002,-4.000000E-004
+2.860000E-002,-2.000000E-004
+2.880000E-002,+3.400000E-003
+2.900000E-002,-8.000000E-004
+2.920000E-002,+1.000000E-003
+2.940000E-002,-4.000000E-004
+2.960000E-002,-3.000000E-003
+2.980000E-002,+2.400000E-003
+3.000000E-002,+3.400000E-003
+3.020000E-002,-8.000000E-004
+3.040000E-002,+1.400000E-003
+3.060000E-002,-3.000000E-003
+3.080000E-002,-6.000000E-004
+3.100000E-002,-1.000000E-003
